,,,,
above,trên,"prep, adv",,
everything,mọi thứ,,,
example,thí dụ,n,,
excellent,xuất sắc,adj,,
except,ngoại trừ,v,,
excuse,lời xin lỗi,"v, n",,
exercise,bài tập,"v, n",,
exit,lối ra,"v, n",,
expensive,đắt,adj,,
expert,chuyên gia,n,,
extremly,cực kỳ,,,
,,,,
,,,,
face,mặt,n,,
fact,sự thật,n,,
factory,xưởng,n,,
fake,giả mạo,"adj, v, n",,
fail,rơi,v,,
family,gia đình,n,,
famous,nổi tiếng,adj,,
far,xa,adj,,
farm,nông trại,n,,
fashion,thời trang,n,,
fat,"mập, mỡ","adj, n",,
february,tháng hai,n,,
feed,cho ăn,v,,
feel,cảm thấy,v,,
fever,sốt,n,,
field,cánh đồng,n,,
find,tìm thấy,v,,
fight,"chiến đấu, đánh","v, n",,
finish,kết thúc,"v, n",,
fire,"lửa, bắn","v, n",,
fish,"cá, câu cá","v, n",,
finger,ngón tay,n,,
fit,vừa,v,,
fix,sửa,v,,
flag,lá cờ,n,,
flat,phẳng,adj,,
flight,chuyến bay,n,,
floor,sàn nhà,n,,
flower,hoa,n,,
fluent,trôi chảy,adj,,
fly,bay,v,,
fog,sương mù,n,,
food,thức ăn,n,,
fool,người ngu,"adj, n",,
foot,bàn chân,n,,
foreign,nước ngoài,n,,
forget,quên,v,,
fork,nĩa,n,,
forward,phía trước,,,
,,,,
france,nước pháp,n,,
free,rảnh,adj,,
free-time,thời gian rảnh,n,,
Friday,thứ sáu,n,,
fried,đồ chiên,adj,,
from,từ (nơi nào đó),,,
front,phía trước,"adj, n",,
fruit,trái cây,n,,
fry,chiên,v,,
full,đầy,adj,,
funny,khôi hài,adj,,
future,tương lai,n,,
,,,,
,,,,
,,,,
game,trò chơi,n,,
garbage,rác,n,,
garden,vườn,n,,
gas,xăng,n,,
generally,"chung, tổng quát",adv,,
germany,nước đức,n,,
get,lấy,verb,,
gift,món quà,n,,
girl,cô gái,n,,
give,cho,verb,,
glad,vui lòng,adj,,
glass,"thủy tinh, ly",n,,
glove,găng tay,n,,
go,đi,verb,,
goal,mục tiêu,n,,
goat,con dê,noun,,
gold,vàng,noun,,
good,tốt,adj,,
goodbye,tạm biệt,verb,,
government,chính phủ,noun,,
grade,"mức, độ, điểm","noun, verb",,
graduate,tốt nghiệp,verb,,
grandfather,ông nội,noun,,
grass,cỏ,noun,,
grateful,biết ơn,adj,,
gray,xám,noun,,
green,xanh lục,noun,,
ground,mặt đất,noun,,
group,nhóm,noun,,
grow,mọc,verb,,
guarantee,bảo đảm,verb,,
guest,khách mời,noun,,
gum,kẹo cao su,noun,,
gun,súng,noun,,
gym,phòng tập thể dục,noun,,
,,,,
,,,,
hair,"tóc, lông",n,,
ham,thịt heo,n,,
hamburger,bánh burger,n,,
hand,bàn tay,n,,
happy,"hạnh phúc, vui",adj,,
,,,,
hat,mũ,n,,
have,có,v,,
head,đầu,n,,
headache,nhức đầu,n,,
headphones,tai nghe,n,,
hear,nghe thấy,v,,
heart,trái tim,n,,
heat,"nóng, làm nóng, sưởi","v, n",,
heavy,nặng,v,,
help,giúp đỡ,v,,
here,"ở đây, chổ này",,,
high,cao,adj,,
highway,xa lộ,n,,
hike,đi bộ đường dài,v,,
hill,đồi,n,,
history,lịch sử,n,,
hit,đánh,v,,
hobby,thú vui,n,,
hold,"nắm, giữ",v,,
hole,lỗ,n,,
home,nhà,n,,
homework,bài tập về nhà,n,,
hope,hy vọng,"v, n",,
horse,ngựa,n,,
hospital,bệnh viện,n,,
hot,nóng,adj,,
hotel,khách sạn,n,,
hour,giờ,n,,
house,nhà,n,,
hug,ôm,v,,
hungry,đói,adj,,
hurt,"đau, làm đau","adj, v",,
husband,chồng,n,,
,,,,
ice,nước đá,n,,
idea,ý tưởng,n,,
imagine,tưởng tượngg,v,,
immediately,ngay lập tức,,,
immigration,di trú,n,,
immigrant,người di trú,n,,
important,quan trọng,adj,,
impossible,không thể,,,
impressive,ấn tượng,,,
impress,gây ấn tượng,v,,
inch,dđơn vị đo inch 1inch = 2.54cm,n,,
include,bao gồm,v,,
individual,"cá nhân, cá thể",n,,
information,thông tin,n,,
inside,bên trong,,,
insomnia,chứng mất ngủ,n,,
insurance,bảo hiểm,n,,
interesting,thú vị,adj,,
interupt,chặn ngang,v,,
introduce,giới thiệu,v,,
invent,phát minh,v,,
invention,phát minh,n,,
iron,sắt,n,,
island,hòn đảo,n,,
,,,,
jail,nhà tù,n,,
January,tháng 1,n,,
Japan,nước Nhật,n,,
Japanese,"người Nhật, thuộc về Nhật",n,,
jeans,quần jean,n,,
Jewish,Do Thái,n,,
job,việc làm,n,,
joke,đùa,"v, n",,
July,tháng 7,n,,
jump,nhảy,v,,
June,tháng 6,v,,
just,chỉ,,,
,,,,
,,,,
keep,giữ,v,,
key,chìa khóa,n,,
kill,giết,v,,
kilometer,cây số,n,,
king,vua,n,,
kiss,hôn,"v, n",,
kitchen,bếp,n,,
knife,dao,n,,
know,biết,v,,
knowledge,kiến thức,n,,
,,,,
,,,,
lack,thiếu,,,
lake,hồ,n,,
lamp,đèn,n,,
language,ngôn ngữ,n,,
laptop,máy tính xách tay,n,,
large,rộng,adj,,
last,cuối cùng,,,
late,trễ,adj,,
later,sau,,,
laugh,cười,v,,
laundromat,tiệm cho thuê máy giặt,n,,
laundry,đồ cần giặt,n,,
law,luật,n,,
lawyer,luật sư,n,,
lay,đặt (xuống),v,,
lazy,lười,adj,,
learn,học,v,,
leather,da,n,,
leave,"ra về, đi khỏi",v,,
leg,chân,n,,
lend,cho mượn,v,,
less,ít hơn,,,
let,cho phép,v,,
letter,lá thứ,n,,
library,thư viện,n,,
license,giấy phép,n,,
lie,"nằm, nói dối",v,,
life,cuộc sống,n,,
light,"đèn, ánh sáng","v, n",,
liter,1 lít,n,,
litter,xả rác,v,,
little,"nhỏ, ít",adj,,
live,sống,v,,
lock,khóa,v,,
long,dài,adj,,
look,nhìn,v,,
lose,"thua, mất",,,
lotion,kem (dưỡng da),n,,
lots,nhìu,,,
louder,"to tiếng hơn, to hơn",,,
love,yêu,"v, n",,
low,thấp,,,
luck,may mắn,n,,
luggage,hành lý,n,,
lunch,bữa trưa,n,,
,,,,
magazine,tạp chí,n,,
mail,thư,n,,
major,"chuyên đề, ngành",n,,
majority,đa số,,,
make,làm,v,,
make up,trang điểm,"v, n",,
male,phái nam,n,,
mall,khu mua sắm,n,,
man,"đàn ông, phái nam",n,,
manager,quản lý,n,,
many,nhiều,adj,,
map,bản đồ,n,,
March,tháng 3,n,,
market,chợ,n,,
marry,cưới,v,,
match,"diêm, trận đấu","v, n",,
matter,"vấn đề, vật chất",n,,
May,tháng 5,n,,
maybe,có lẽ,,,
mean,"có nghĩa, ăn hiếp","v, adj",,
meat,thịt,n,,
meeting,buổi họp,n,,
meet,gặp,v,,
menu,thực đơn,n,,
metal,kim lọai,n,,
Mexican,người Mexico,n,,
microphone,micro,n,,
microwave,lò vi sóng,n,,
middle,ở giữa,adj,,
might,có thể,,,
mile,"dặm, 1mile = 1.6km",n,,
milk,"vắt sữa, sữa","v, n",,
mind,tâm trí,n,,
minute,phút,n,,
mirror,gương,n,,
mistake,lỗi,n,,
modern,hiện đại,adj,,
money,tiền,n,,
moon,mặt trăng,n,,
more,hơn,,,
most,phần lớn,,,
motocycle,xe gắn máy,n,,
mountain,núi,n,,
mouth,miệng,n,,
move,di chuyển,"v, n",,
much,nhiều,,,
muscle,cơ bắp,n,,
museum,nhà bảo tàng,n,,
Muslim,Hồi giáo,n,,
must,phải,,,
,,,,
,,,,
napkin,khăn ăn,n,,
narrow,hẹp,adj,,
natural,tự nhiên,,,
nature,thiên nhiên,n,,
near,gần,,,
nearby,gần đây,,,
neck,cổ,n,,
necessary,cần thiết,,,
necklace,vòng đeo cổ,n,,
need,cần,"v, n",,
neighbor,hàng xóm,n,,
newspaper,tờ báo,n,,
next,kế tiếp,,,
nice,tốt,adj,,
night,đêm,n,,
nighttime,thời gian giữa đêm,n,,
noise,tiếng ồn,n,,
noisy,ồn ào,adj,,
none,"không ai, không cái nào",,,
non-smoking,không hút thuốc,,,
normal,bình thường,,,
north,phía bắc,,,
nose,mũi,n,,
note,ghi chú,"v, n",,
notebook,vở,n,,
nothing,không gì,,,
notice,chú ý,"v, n",,
noun,danh từ,n,,
November,tháng 11,n,,
number,số,n,,
,,,,
object,"vật thể, vật",n,,
occupy,"chiếm, chiếm chổ",v,,
ocean,biển,n,,
October,tháng 10,n,,
odor,mùi,n,,
office,văn phòng,n,,
often,thường,,,
oil,dầu,n,,
old,già,adj,,
on,trên,,,
once,một lần,,,
only,"chỉ, chỉ một",,,
open,mở,v,,
opportunity,cơ hội,n,,
opposite,"đối diện, trái ngược",,,
orange,"cam, màu cam, trái cam",n,,
order,trật tự,"v, n",,
ordinary,thông thường,n,,
original,"nguyên thủy, từ đầu",,,
orphan,trẻ mồ côi,n,,
other,"khác, cái khác",,,
outdoors,ngoài trời,,,
outlet,"chổ bán đồ, lối thông (sông, điện)",,,
outside,bên ngoài,,,
over,"phía trên, qua rồi",,,
,,,,
,,,,
package,"gói, thùng hàng",n,,
page,trang,n,,
pain,đau,n,,
paint,vẽ,v,,
painting,bức tranh,n,,
pan,cái chảo,n,,
pants,quần,n,,
paper,giấy,n,,
parents,cha mẹ,n,,
park,"đậu xe, công viên","v, n",,
part,phần,n,,
participate,"tham gia, tham dự",v,,
party,bữa tiệc,n,,
passport,thông hành,n,,
password,mật khẩu,n,,
pattern,mẫu,n,,
pay,trả tiền,v,,
payment,thanh toán,n,,
pen,bút mực,n,,
pencil,bút chì,n,,
people,con người,n,,
pepper,"tiêu, hạt tiêu",n,,
perhaps,có lẽ,,,
person,con người,n,,
pharmacy,nhà thuốc,n,,
phone,điện thoại,n,,
photograph,ảnh,n,,
piece,"miếng, mảnh",n,,
pig,lợn,n,,
pillow,gối,n,,
place,nơi,n,,
plan,kế hoạch,n,,
plant,cây,n,,
plate,đĩa (dựng đồ ăn),n,,
play,"chơi, vở kịch","v, n",,
pleasant,dễ chịu,,,
police,cảnh sát,n,,
poor,"nghèo, đáng thương","adj, n",,
popular,"nổi tiếng, phổ biến",adj,,
pork,thịt heo,n,,
position,vị trí,n,,
possible,có thể,,,
postcard,bưu thiếp,n,,
pound,đồng bảng Anh,n,,
power,"sức lực, sức mạnh",n,,
pratice,thực hành,v,,
prepare,chuẩn bị,v,,
present,"hiện tại, món quà","v, n",,
president,tổng thống,n,,
press,"nhấn, họp báo",n,,
pretend,giả bộ,v,,
pretty,đẹp,adj,,
previous,trước,,,
price,"giá, giải thưởng",n,,
probably,có thể,,,
problem,vấn đề,n,,
produce,sản xuẩt,v,,
product,sản phẩm,n,,
progress,tiến bộ,"v, n",,
pronounce,phát âm,v,,
pronunciation,phát âm,n,,
protect,bảo vệ,v,,
protection,sự bảo vệ,n,,
province,tỉnh,n,,
psychology,tâm lý,n,,
pull,"kéo (co, về)",v,,
purse,ví,n,,
push,đẩy,v,,
put,đặt,v,,
,,,,
quality,"chất lượng, phẩm chất",,,
question,câu hỏi,n,,
quick,nhanh,adj,,
quickly,nhanh,adv,,
quiet,yên lặng,adj,,
,,,,
,,,,
radio,ra đi ô,n,,
rain,"mưa, cơn mưa",v. n,,
razor,dao cạo,n,,
read,đọc,"v, n",,
really,thực sự,,,
receipt,biên nhận,n,,
receive,nhận,v,,
recently,gần đây,,,
recommend,"đề nghị, gợi ý",v,,
record,"kỷ lục, ghi lại","v, n",,
red,đỏ,"adj, n",,
refrigerator,tủ lạnh,n,,
regret,tiếc nuối,"v, n",,
religion,tôn giáo,n,,
remember,nhớ,v,,
remind,nhắc lại,v,,
rent,"thuê, mướn","v, n",,
repair,sửa,v,,
repeat,lập lại,v,,
replace,thay thế,v,,
replacement,đồ thay thế,n,,
replay,chơi lại,v,,
reply,trả lời,"v, n",,
research,nghiên cứu,"v, n",,
reserve,dự trữ,v,,
rest,"nghỉ, phần còn lại","v, n",,
restaurant,nhà hàng,n,,
return,"trở về, trở lại","v, n",,
reverse,đảo ngược,v,,
review,ôn lại,"v, n",,
revise,duyệt lại,v,,
rice,gạo,n,,
rich,giàu,"adj, n",,
right,"bên phải, đúng, quyền lợi","adj, n",,
ring,"nhẫn, nhấn (chuông)","v, n",,
river,sông,n,,
road,con đường,n,,
rock,đá,n,,
room,phòng,n,,
rope,dây thừng,n,,
round,"tròn, lượt","adj, n",,
rule,"luật, cai trị",n,,
run,chạy,"v, n",,
Russia,nước Nga,n,,
Russian,"tiếng Nga, người Nga",n,,
,,,,
,,,,
sad,"buồn, tồi tệ",adj,,
safe,an toàn,adj,,
salad,xà lách,n,,
salt,muối,n,,
same,cũng như vậy,,,
sand,cát,n,,
sandwich,bánh mì,n,,
Saturday,thứ 7,n,,
save,"cứu, lưu lại",v,,
say,nói,v,,
scarf,khăn quàng cổ,n,,
schedule,"thời gian biểu, lịch",n,,
school,trường,n,,
scientist,nhà khoa học,n,,
scissors,cái kéo,n,,
scold,la mắng,v,,
score,"điểm số, ghi điểm","v, n",,
scream,"la hét, thét",v,,
seafood,hải sản,n,,
season,mùa,n,,
seat,chổ ngồi,n,,
second,"giây, thứ nhì",n,,
secret,bí mật,n,,
see,thấy,v,,
seem,dường như,,,
sell,bán,v,,
send,gửi,v,,
sentence,câu văn,n,,
separate,"riêng rẽ, chia ra",v,,
September,tháng 9,n,,
serious,"nghiêm túc, nghiêm trọng",adj,,
several,vài,,,
shampoo,dầu gọi đầu,n,,
share,"chia xẻ, cổ phần","v, n",,
shave,cạo râu/lông,v,,
shirt,áo (sơ mi),n,,
shoes,giày,n,,
short,"ngắn, lùn, quần sọt","adj, n",,
should, nên,,,
shoulder,bờ vai,n,,
shout,la lớn,v,,
show,"buổi biểu diễn, cho xem","v, n",,
shower,mưa rào,n,,
shut,đóng,v,,
sick,ốm,adj,,
sign,"dấu hiệu, ký tên","v, n",,
silent,yên lặng,adj,,
simple,đơn giản,adj,,
since,kể từ,,,
sing,hát,v,,
song,bài hát,n,,
sister,"chị em gái, nữ tu sĩ",n,,
situation,tình huống,n,,
size,cỡ,n,,
ski,trượt tuyết,v,,
skill,kỹ năng,n,,
skin,da,n,,
skirt,váy,n,,
sky,trời,n,,
sleep,ngủ,"v, n",,
slow,chậm,"adj, v",,
small,nhỏ,adj,,
smart,thông minh,adj,,
smell,"ngửi, mùi","v, n",,
smile,cười,"v, n",,
smoke,"khói, hút","v, n",,
snack,món ăn nhẹ,n,,
snake,rắn,n,,
sneeze,hát hơi,v,,
snow,tuyết,"v, n",,
soap,xà phòng,n,,
soccer,bóng đá,n,,
socks,vớ chân,n,,
soda,nước xô đa,n,,
software,phần mềm máy tính,n,,
solution,giải pháp,n,,
some,vài,,,
someday,ngày nào đó,,,
someone,người nào đó,,,
something,cái gì đó,,,
sometimes,thỉnh thoảng,,,
somehow,bằng cách nào đó,,,
son,con trai,n,,
soon,sớm,,,
sore,"đau, ê",adj,,
sorry,"xin lỗi, tiếc",adj,,
so-so,"đại khái, vừa vừa",adj,,
sound,âm thanh,"v, n",,
soup,"súp, canh",n,,
sour,chua,adj,,
south,phía nam,,,
speak,"nói, phát biểu","v, n",,
special,đặt biệt,,,
spell,"đánh vần, phép thuật","v, n",,
spend,"xài, tiêu tiền",v,,
spicy,cay,adj,,
spoon,muỗng,n,,
sport,thể thao,n,,
spring,mùa xuân,n,,
stairs,bậc thang,n,,
stamp,con tem,n,,
stand,"đứng, cái kệ","v, n",,
standard,tiêu chuẩn,n,,
stapler,cái bấm đinh,n,,
star,"ngôi sao, diễn (trong phim nổi tiếng)","v, n",,
start,bắt đầu,v,,
station,trạm,n,,
stay,"ở, cư ngụ","v, n",,
steak,thịt bít tết,n,,
steal,ăn cắp,"v, n",,
steam,"hơi nước, hấp","v, n",,
still,"tĩnh mịch, đứng yên, tuy nhiên",,,
stomach,"bụng, dạ dày",n,,
stop,dừng,"v, n",,
store,"cửa hàng, lưu lại, cất giữ","v, n",,
straight,thẳng,adj,,
strange,lạ,adj,,
stranger,người lạ,n,,
street,đường,n,,
stretch,co duỗi,v,,
strong,mạnh,adj,,
student,học sinh,n,,
study,học sinh,"v, n",,
stupid,ngu,adj,,
subtract,"trừ, phép trừ",v,,
subway,tàu điện ngầm,n,,
succeed,thành công,v,,
success,sự thành công,n,,
sugar,đường ăn,n,,
suggest,đề nghị,v,,
suggestion,lời đề nghị,n,,
summer,mùa hè,n,,
sun,mặt trời,n,,
Sunday,chủ nhật,n,,
sunglasses,kính mát,n,,
sunny,(ngày) nắng,adj,,
supermarket,siêu thị,n,,
supply,cung cấp,"v, n",,
support,hổ trợ,"v, n",,
surprise,gây ngạc nhiên,"v, n",,
swear,lời thề,"v, n",,
sweater,"áo len, áo ấm",n,,
sweet,ngọt,adj,,
swim,bơi,v,,
,,,,
table,bàn,n,,
tail,đuôi,n,,
take,"lấy, chụp",v,,
talk,nói chuyện,"v, n",,
tall,cao,adj,,
tape,băng (dán),n,,
taste,"nếm, vị giác, thị hiếu","v, n",,
taxi,taxi,n,,
tea,trà,n,,
teach,dạy,"v, n",,
team,đội,n,,
teeth,răng,n,,
tell,"kể, nói với",v,,
temperature,nhiệt độ,n,,
tennis,quần vợt,n,,
terrible,khủng khiếp,adj,,
test,"bài thi, kiểm tra","v, n",,
Texas,bang Texas của Mỹ,n,,
theirs,của họ,,,
then,"khi đó, rồi thì",,,
theory,lý thuyết,n,,
there,ở đó,,,
these,những cái này,,,
thick,dày,adj,,
thin,mỏng,adj,,
thing,đồ vật,n,,
think,"suy nghĩ, nghĩ ra",v,,
those,những cái đó,,,
thought,ý nghĩ,n,,
throat,cổ họng,n,,
throw,quăng đi,v,,
Thursday,thứ 5,n,,
ticket,"vé, phạt","v, n",,
tie,"cột lại, cà vạt","v, n",,
time,"thời gian, canh giờ","v, n",,
tiny,nhỏ,adj,,
tip,lời khuyên,n,,
tire,"làm mệt mỏi, bánh xe","v, n",,
tissue,khăn giấy,n,,
today,hôm nay,n,,
toe,ngón chân,n,,
tofu,đậu hủ,n,,
together,cùng nhau,,,
toilet,phòng vệ sinh,n,,
tomato,cà chua,n,,
tomorrow,ngày mai,n,,
tonight,tối nay,n,,
tool,dụng cụ,n,,
toothbrush,bàn chải đánh răng,n,,
top,đỉnh,n,,
total,tổng cộng,,,
touch,"chạm, đụng chạm","v, n",,
tourist,du khách,n,,
towel,khăn tắm,n,,
town,"thị xã, thị trấn",n,,
toy,đồ chơi,"v, n",,
traffic,giao thông,n,,
train,xe lửa,n,,
translate,thông dịch,v,,
trash,rác,n,,
travel,du lịch,"v, n",,
treat,"đối xử, chiêu đãi","v, n",,
tree,cây,n,,
triangle,tam giác,n,,
trip,chuyến đi,n,,
truck,xe tải,n,,
true,đúng,adj,,
truth,sự thật,n,,
try,cố gắng,v,,
t-shirt,áo thun,n,,
Tuesday,thứ 3,n,,
turn,"lần, lượt, rẽ","v, n",,
twice,2 lần,,,
type,"đánh (máy), loại","v, n",,
,,,,
ugly,xấu,adj,,
umbrella,ô dù,n,,
uncle,"chú, bác, cậu",n,,
under,bên dưới,,,
understand,hiểu,v,,
underwear,nội y,n,,
university,đại học,n,,
universe,vũ trụ,n,,
unmarried,chưa có gia đình,adj,,
unoccupied,vô chủ,adj,,
until,cho tới khi,,,
up,lên,,,
upstairs,trên lầu,adj,,
use,dùng,"v, n",,
useful,"hữu ích, hữu dụng",adj,,
useless,vô dụng,adj,,
usually,thường xuyên,,,
,,,,
vacant,"trống rỗng, bỏ hoang",v,,
vacation,kỳ nghỉ mát,n,,
vacuum,chân không,n,,
vegetables,"rau, thực vật",n,,
village,làng,n,,
visit,thăm viếng,"v, n",,
vitamins,vitamin,n,,
voice,giọng nói,n,,
vote,"bỏ phiếu, bầu cử","v, n",,
vowel,nguyên âm,n,,
,,,,
wait,chờ,v,,
waiter,người phục vụ bàn,n,,
waitress,nữ phục vụ bàn,n,,
walk,đi bộ,"v, n",,
wall,bức tường,n,,
wallet,ví tiền,n,,
want,muốn,v,,
war,chiến tranh,n,,
warm,ấm,adj,,
wash,rửa,v,,
watch,"xem, đồng hồ","v, n",,
water,"tưới nước, nước","v, n",,
weak,yếu,adj,,
weather,thời tiết,n,,
website,trang web,n,,
wedding,đám cưới,n,,
Wednesday,thứ 4,n,,
week,tuần,n,,
weekdays,ngày trong tuần,n,,
weekend,cuối tuần,n,,
well,"giỏi, cái giếng","adj, n",,
west,phía tây,,,
wet,ước,adj,,
wheel,bánh xe,n,,
white,trắng,"adj, n",,
wide,rộng,adj,,
wife,vợ,n,,
win,thắng,"v, n",,
wind,gió,n,,
window,cửa sổ,n,,
windy,có gió,adj,,
wine,rượu,n,,
winter,mùa đông,n,,
wish,"ước, điều ước","v, n",,
with,với,,,
wihout,không có,,,
woman,phụ nữ,n,,
women,phụ nữ số nhiều,n,,
wood,"gỗ, rừng",n,,
word,"chữ, từ",n,,
work,"làm việc, công việc","v, n",,
workplace,nơi làm việc,n,,
world,thế giới,n,,
worse,tệ hơn,adj,,
worst,tệ nhất,adj,,
write,viết,v,,
wrong,"sai, sai trái",adj,,
,,,,
yawn,ngáp,"v, n",,
year,năm,n,,
yellow,"vàng, màu vàng","adj, n",,
yesterday,hôm qua,n,,
yet,chưa,,,
young,"trẻ trung, trẻ","adj, n",,
,,,,
zero,số không,n,,
