721,snack,món ăn nhẹ,n,
722,snake,rắn,n,
723,sneeze,hát hơi,v,
724,snow,tuyết,"v, n",
725,soap,xà phòng,n,
726,soccer,bóng đá,n,
727,socks,vớ chân,n,
728,soda,nước xô đa,n,
729,software,phần mềm máy tính,n,
730,solution,giải pháp,n,
731,some,vài,,
732,someday,ngày nào đó,,
733,someone,người nào đó,,
734,something,cái gì đó,,
735,sometimes,thỉnh thoảng,,
736,somehow,bằng cách nào đó,,
737,son,con trai,n,
738,soon,sớm,,
739,sore,"đau, ê",adj,
740,sorry,"xin lỗi, tiếc",adj,
741,so-so,"đại khái, vừa vừa",adj,
742,sound,âm thanh,"v, n",
743,soup,"súp, canh",n,
744,sour,chua,adj,
745,south,phía nam,,
746,speak,"nói, phát biểu","v, n",
747,special,đặt biệt,,
748,spell,"đánh vần, phép thuật","v, n",
749,spend,"xài, tiêu tiền",v,
750,spicy,cay,adj,
751,spoon,muỗng,n,
752,sport,thể thao,n,
753,spring,mùa xuân,n,
754,stairs,bậc thang,n,
755,stamp,con tem,n,
756,stand,"đứng, cái kệ","v, n",
757,standard,tiêu chuẩn,n,
758,stapler,cái bấm đinh,n,
759,star,"ngôi sao, diễn (trong phim nổi tiếng)","v, n",
760,start,bắt đầu,v,
761,station,trạm,n,
762,stay,"ở, cư ngụ","v, n",
763,steak,thịt bít tết,n,
764,steal,ăn cắp,"v, n",
765,steam,"hơi nước, hấp","v, n",
766,still,"tĩnh mịch, đứng yên, tuy nhiên",,
767,stomach,"bụng, dạ dày",n,
768,stop,dừng,"v, n",
769,store,"cửa hàng, lưu lại, cất giữ","v, n",
770,straight,thẳng,adj,
771,strange,lạ,adj,
772,stranger,người lạ,n,
773,street,đường,n,
774,stretch,co duỗi,v,
775,strong,mạnh,adj,
776,student,học sinh,n,
777,study,học sinh,"v, n",
778,stupid,ngu,adj,
779,subtract,"trừ, phép trừ",v,
780,subway,tàu điện ngầm,n,
781,succeed,thành công,v,
782,success,sự thành công,n,
783,sugar,đường ăn,n,
784,suggest,đề nghị,v,
785,suggestion,lời đề nghị,n,
786,summer,mùa hè,n,
787,sun,mặt trời,n,
788,Sunday,chủ nhật,n,
789,sunglasses,kính mát,n,
790,sunny,(ngày) nắng,adj,
791,supermarket,siêu thị,n,
792,supply,cung cấp,"v, n",
793,support,hổ trợ,"v, n",
794,surprise,gây ngạc nhiên,"v, n",
795,swear,lời thề,"v, n",
796,sweater,"áo len, áo ấm",n,
797,sweet,ngọt,adj,
798,swim,bơi,v,
799,table,bàn,n,
800,tail,đuôi,n,
801,take,"lấy, chụp",v,
802,talk,nói chuyện,"v, n",
803,tall,cao,adj,
804,tape,băng (dán),n,
805,taste,"nếm, vị giác, thị hiếu","v, n",
806,taxi,taxi,n,
807,tea,trà,n,
808,teach,dạy,"v, n",
809,team,đội,n,
810,teeth,răng,n,
811,tell,"kể, nói với",v,
812,temperature,nhiệt độ,n,
813,tennis,quần vợt,n,
814,terrible,khủng khiếp,adj,
815,test,"bài thi, kiểm tra","v, n",
816,Texas,bang Texas của Mỹ,n,
817,theirs,của họ,,
818,then,"khi đó, rồi thì",,
819,theory,lý thuyết,n,
820,there,ở đó,,
821,these,những cái này,,
822,thick,dày,adj,
823,thin,mỏng,adj,
824,thing,đồ vật,n,
825,think,"suy nghĩ, nghĩ ra",v,
826,those,những cái đó,,
827,thought,ý nghĩ,n,
828,throat,cổ họng,n,
829,throw,quăng đi,v,
830,Thursday,thứ 5,n,
831,ticket,"vé, phạt","v, n",
832,tie,"cột lại, cà vạt","v, n",
833,time,"thời gian, canh giờ","v, n",
834,tiny,nhỏ,adj,
835,tip,lời khuyên,n,
836,tire,"làm mệt mỏi, bánh xe","v, n",
837,tissue,khăn giấy,n,
838,today,hôm nay,n,
839,toe,ngón chân,n,
840,tofu,đậu hủ,n,
841,together,cùng nhau,,
842,toilet,phòng vệ sinh,n,
843,tomato,cà chua,n,
844,tomorrow,ngày mai,n,
845,tonight,tối nay,n,
846,tool,dụng cụ,n,
847,toothbrush,bàn chải đánh răng,n,
848,top,đỉnh,n,
849,total,tổng cộng,,
850,touch,"chạm, đụng chạm","v, n",
851,tourist,du khách,n,
852,towel,khăn tắm,n,
853,town,"thị xã, thị trấn",n,
854,toy,đồ chơi,"v, n",
855,traffic,giao thông,n,
856,train,xe lửa,n,
857,translate,thông dịch,v,
858,trash,rác,n,
859,travel,du lịch,"v, n",
860,treat,"đối xử, chiêu đãi","v, n",
861,tree,cây,n,
862,triangle,tam giác,n,
863,trip,chuyến đi,n,
864,truck,xe tải,n,
865,true,đúng,adj,
866,truth,sự thật,n,
867,try,cố gắng,v,
868,t-shirt,áo thun,n,
869,Tuesday,thứ 3,n,
870,turn,"lần, lượt, rẽ","v, n",
871,twice,2 lần,,
872,type,"đánh (máy), loại","v, n",
873,ugly,xấu,adj,
874,umbrella,ô dù,n,
875,uncle,"chú, bác, cậu",n,
876,under,bên dưới,,
877,understand,hiểu,v,
878,underwear,nội y,n,
879,university,đại học,n,
880,universe,vũ trụ,n,
881,unmarried,chưa có gia đình,adj,
882,unoccupied,vô chủ,adj,
883,until,cho tới khi,,
884,up,lên,,
885,upstairs,trên lầu,adj,
886,use,dùng,"v, n",
887,useful,"hữu ích, hữu dụng",adj,
888,useless,vô dụng,adj,
889,usually,thường xuyên,,
890,vacant,"trống rỗng, bỏ hoang",v,
891,vacation,kỳ nghỉ mát,n,
892,vacuum,chân không,n,
893,vegetables,"rau, thực vật",n,
894,village,làng,n,
895,visit,thăm viếng,"v, n",
896,vitamins,vitamin,n,
897,voice,giọng nói,n,
898,vote,"bỏ phiếu, bầu cử","v, n",
899,vowel,nguyên âm,n,
900,wait,chờ,v,
901,waiter,người phục vụ bàn,n,
902,waitress,nữ phục vụ bàn,n,
903,walk,đi bộ,"v, n",
904,wall,bức tường,n,
905,wallet,ví tiền,n,
906,want,muốn,v,
907,war,chiến tranh,n,
908,warm,ấm,adj,
909,wash,rửa,v,
910,watch,"xem, đồng hồ","v, n",
911,water,"tưới nước, nước","v, n",
912,weak,yếu,adj,
913,weather,thời tiết,n,
914,website,trang web,n,
915,wedding,đám cưới,n,
916,Wednesday,thứ 4,n,
917,week,tuần,n,
918,weekdays,ngày trong tuần,n,
919,weekend,cuối tuần,n,
920,well,"giỏi, cái giếng","adj, n",
921,west,phía tây,,
922,wet,ước,adj,
923,wheel,bánh xe,n,
924,white,trắng,"adj, n",
925,wide,rộng,adj,
926,wife,vợ,n,
927,win,thắng,"v, n",
928,wind,gió,n,
929,window,cửa sổ,n,
930,windy,có gió,adj,
931,wine,rượu,n,
932,winter,mùa đông,n,
933,wish,"ước, điều ước","v, n",
